01-04-2024,SAI MEDICAL STORE (NEW),SURAT,6720.00
01-04-2024,SHREE HARI SURGICAL,SURAT,4831.00
01-04-2024,ORTHO SYSTEMS(S),SURAT,2520.00
01-04-2024,SHREE HARI SURGICAL(MOTA VARACHA),SURAT,7129.00
01-04-2024,ANJANI PHARMA,VALSAD,3790.00
01-04-2024,JIGAR MEDICAL & SURGICAL AGENCY,SURAT,8371.00
01-04-2024,VAHANVATI SURGICAL AGENCY,SURAT,1042.00
01-04-2024,HANUMANT CLINIC,SURAT,538.00
02-04-2024,ANJANI PHARMA,VALSAD,2576.00
02-04-2024,MITANSH SURGICAL,SURAT,42488.00
02-04-2024,BHAVANI MEDICARE,SURAT,3980.00
02-04-2024,SURAT SURGICALS,SURAT,6832.00
02-04-2024,PARAM DISTRIBUTORS,SURAT,5329.00
02-04-2024,VRAJHBHOOMI MEDI (SPNNING MILL),SURAT,404.00
02-04-2024,VATSAL CHEMIST,SURAT,1260.00
03-04-2024,LIBBEN MEDI PRODUCTS PVT .LTD.(SALE),SURAT,3129.00
03-04-2024,RAAZ MEDICAL,SURAT,4369.00
03-04-2024,SAI MEDICAL STORE (NEW),SURAT,1142.00
04-04-2024,NITYAM SURGICAL AND COMPANY,SURAT,6008.00
04-04-2024,DEEP PHARMA,ANKLESHWAR,6155.00
04-04-2024,VINAYAK SALES AGENCY,SURAT,1607.00
04-04-2024,ZOTA HEALTH CARE LTD,SURAT,65128.00
04-04-2024,JIGAR MEDICAL & SURGICAL AGENCY,SURAT,666.00
04-04-2024,AUM CLINICAL LABORATORY PANDESARA,SURAT,7280.00
04-04-2024,MITANSH SURGICAL,SURAT,3472.00
04-04-2024,JIGAR MEDICAL & SURGICAL AGENCY,SURAT,6832.00
04-04-2024,RAAZ MEDICAL,SURAT,1312.00
05-04-2024,RAAZ MEDICAL,SURAT,1341.00
05-04-2024,SAI MEDICAL STORE (NEW),SURAT,5804.00
05-04-2024,SHREE KHODIYAR ENTERPRISE,ANAND,22747.00
05-04-2024,GALAXY MEDICO (NEW) S,SURAT,3853.00
06-04-2024,JIGAR MEDICAL & SURGICAL AGENCY,SURAT,9330.00
06-04-2024,KHUSHI MEDICAL AGENCY,SURAT,2191.00
06-04-2024,KAVYA DISTRIBUTORS (S),SURAT,5685.00
06-04-2024,WELLRATE MEDICAL & SURGICAL,SURAT,1803.00
06-04-2024,SHREENATHJI MEDICAL AGENCY,VAPI,4536.00
06-04-2024,SAI SURGICAL(NAVSARI),NAVSARI,3147.00
06-04-2024,GALAXY MEDICO (NEW) S,SURAT,2131.00
06-04-2024,MITANSH SURGICAL,SURAT,392.00
06-04-2024,VIRAJ MEDICAL AGENCY ANKLESHAR,ANKLESHWAR,10596.00
06-04-2024,BALAJI HEALTHCARE,AHEMEDABAD,6216.00
06-04-2024,MAHALAXMI SURGICAL,VYARA,1585.00
08-04-2024,ANJANI PHARMA,VALSAD,2721.00
08-04-2024,UMA AGENCY,SURAT,2554.00
08-04-2024,HANSCURE LIESCIENCE PVT LTD,SURAT,715.00
08-04-2024,KAVYA DISTRIBUTORS (S),SURAT,3472.00
08-04-2024,DIAGNO PHARMA(S),SURAT,12914.00
08-04-2024,HEALTH CORNER,SURAT,694.00
08-04-2024,MAA CHANDRA PHARMA,SURAT,56092.00
09-04-2024,BASIL DISTRIBUTORS,SURAT,20160.00
09-04-2024,MITANSH SURGICAL,SURAT,3024.00
09-04-2024,SHRI MEDICAL AGENCIES,WASHIM,19656.00
09-04-2024,JIGAR MEDICINES,SURAT,1378.00
10-04-2024,ZOTA HEALTH CARE LTD,SURAT,1470.00
10-04-2024,RAAZ MEDICAL,SURAT,1551.00
10-04-2024,UMA AGENCY,SURAT,1915.00
10-04-2024,MITANSH SURGICAL,SURAT,1540.00
10-04-2024,HANUMANT CLINIC,SURAT,512.00
10-04-2024,NITYAM SURGICAL AND COMPANY,SURAT,1001.00
10-04-2024,SAI MEDICAL STORE (NEW),SURAT,11191.00
11-04-2024,BALAJI HEALTHCARE,AHEMEDABAD,31987.00
11-04-2024,MAA CHANDRA PHARMA,SURAT,963.00
12-04-2024,SANJIVANI HOSPITAL,SURAT,18246.00
12-04-2024,SHREE KHODIYAR ENTERPRISE,ANAND,45360.00
13-04-2024,MITANSH SURGICAL,SURAT,2473.00
13-04-2024,SHREE KHODIYAR ENTERPRISE,ANAND,9811.00
13-04-2024,SANJIVANI HOSPITAL,SURAT,5383.00
13-04-2024,SANJIVANI AROGYA TRUST MEDICAL STORE,SURAT,3929.00
13-04-2024,RAAZ MEDICAL,SURAT,1400.00
15-04-2024,SAI MEDICAL STORE (NEW),SURAT,9856.00
15-04-2024,HANUMANT CLINIC,SURAT,896.00
15-04-2024,UMA AGENCY,SURAT,346.00
15-04-2024,SHREE HARI SURGICAL,SURAT,5579.00
15-04-2024,ANJANI PHARMA,VALSAD,7554.00
16-04-2024,SHREE HARI SURGICAL,SURAT,3920.00
16-04-2024,HANSCURE LIESCIENCE PVT LTD,SURAT,6250.00
16-04-2024,SONANI INDUSTRIES PVT.LTD,SURAT,18816.00
17-04-2024,SAI MEDICAL STORE (NEW),SURAT,750.00
17-04-2024,MITANSH SURGICAL,SURAT,5757.00
17-04-2024,SHREE HARI SURGICAL,SURAT,2061.00
17-04-2024,AKSHAR DISTRIBUTORS(SURAT),SURAT,7664.00
17-04-2024,ZOTA HEALTH CARE LTD,SURAT,10920.00
17-04-2024,SAI SURGICAL(NAVSARI),NAVSARI,2453.00
18-04-2024,MEDICLOCK PHARMACY (KAPODRA),SURAT,465.00
18-04-2024,PRANNATH HOSPITAL,SURAT,6384.00
18-04-2024,AMBIX HEALTHCARE LLP,MAHESANA,152410.00
18-04-2024,MITANSH SURGICAL,SURAT,3836.00
18-04-2024,HANUMANT CLINIC,SURAT,722.00
19-04-2024,JIGAR MEDICAL & SURGICAL AGENCY,SURAT,16312.00
19-04-2024,WELLRATE MEDICAL & SURGICAL,SURAT,511.00
19-04-2024,SHREE HARI SURGICAL,SURAT,2222.00
19-04-2024,TVISHA SURGICAL,MAHUVA,11760.00
20-04-2024,MITANSH SURGICAL,SURAT,353.00
